"index_road","node_id"
"[26812223L, 26812221L]",294123684
"[26812224L, 127635194L]",289394716
"[25847390L, 26812224L]",294123812
"[26812225L, 26812221L]",294123769
"[4231222L, 30042275L, 127843741L]",25248785
"[4231222L, 127843729L, 127843732L, 127843744L]",330841128
"[4231223L, 29549788L, 128490592L, 128491123L]",25248791
"[4231223L, 127843726L, 127843732L, 127843738L]",330841408
"[4263917L, 30042511L]",330844390
"[4263917L, 4484480L, 4484777L, 29577745L]",27484993
"[4263918L, 127844297L]",25585092
"[4263918L, 8365693L, 101833597L]",25585135
"[4484478L, 4484776L, 33803488L]",27484998
"[4484478L, 42426448L, 127467607L]",27486402
"[4263917L, 4484480L, 4484777L, 29577745L]",27484993
"[4484478L, 4484480L]",27484988
"[4484478L, 4484481L]",27484990
"[4484481L, 4484777L, 29577449L]",27484994
"[4484630L, 25109400L, 127843739L, 127843740L]",26535594
"[4484630L, 127843738L, 127843741L]",25248786
"[4484478L, 4484776L, 33803488L]",27484998
"[4484776L, 4484777L, 42426723L]",27484999
"[4484777L, 114637115L]",72759649
"[4493468L, 30042275L, 30802296L]",25248784
"[4493468L, 127844300L, 127844311L]",1414035093
"[4493469L, 22797962L, 33612467L, 33612557L]",77746332
"[4493469L, 87339983L, 127844310L]",1300401046
"[4822336L, 26428228L, 26428250L, 42355215L, 42746531L]",289555603
"[4822336L, 4822345L, 42353518L]",30993514
"[4822337L, 4822345L]",30993515
"[4822337L, 4822345L]",30993536
"[4822336L, 4822342L]",30993546
"[4822337L, 4822342L]",30993549
"[4822345L, 33638265L, 93467798L]",384836951
"[4822345L, 60064111L]",746496436
"[4822362L, 27081673L]",30993605
"[4822362L, 55885554L]",701734117
"[4825504L, 103140413L]",31017965
"[4825504L, 103253069L]",1190950097
"[4484630L, 4843674L, 23146252L]",26535390
"[4843674L, 25091486L, 30802356L]",77751976
"[4843675L, 4928045L, 25109088L, 30065037L]",32388118
"[4843675L, 30843384L, 30843481L]",32899013
"[4843680L, 120497146L]",31194234
"[4843680L, 120495411L]",31194230
"[4843681L, 33681053L]",321858473
"[4843681L, 29268926L]",321858481
"[4843687L, 120495322L]",31194316
"[4843687L, 120497128L]",1351023356
"[4843692L, 29268932L]",31194236
"[4843692L, 120495408L]",31194544
"[4844694L, 30843345L]",31194138
"[4844694L, 30768098L, 30802618L]",31200908
"[4844694L, 4844695L]",31200905
"[4844695L]",31200912
"[4844708L, 30802618L]",31200894
"[4844708L, 131710769L]",266111550
"[4845093L, 4845097L, 13740601L, 97291935L]",31204690
"[4845093L, 4845097L]",31204822
"[4845093L, 4845097L, 13740601L, 97291935L]",31204690
"[4845097L]",31204707
"[4845093L, 4845099L]",31204703
"[4845099L]",31204892
"[4845093L, 4845102L]",31204696
"[4845102L]",31204911
"[4857335L, 103253068L]",31017990
"[4857335L, 103140468L]",1190930388
"[4857383L, 30041863L, 131710769L]",31018236
"[4857383L, 24269456L, 121782627L, 121782629L]",31332092
"[4908397L, 29549788L, 127843744L, 127844297L, 127844300L]",25248790
"[4908397L, 30680699L, 127844301L, 128491120L]",325686463
"[4908400L, 127844301L, 128491120L, 128491123L]",325686500
"[4908400L, 29293357L, 127843403L, 128490599L]",32062412
"[4922662L, 25091600L, 30784359L]",32278573
"[4922662L, 34104298L]",32278574
"[4928042L, 5212286L, 5217861L, 9590427L]",32877275
"[4928042L, 5168718L, 9853023L]",32877279
"[4843675L, 4928045L, 25109088L, 30065037L]",32388118
"[4928045L, 13740770L, 25091600L, 25091622L]",32388119
"[4928048L, 25091600L, 42501421L]",32388365
"[4928048L, 25091601L]",32387949
"[4928048L, 4931009L]",32451488
