"id","nodes","tags","pending"
4231222,"{25248785,330841128}","{oneway,yes,highway,secondary}",f
4231223,"{25248791,385206911,269489800,534084497,25248789,330841408}","{oneway,yes,name,广场东侧路,name:zh,广场东侧路,highway,secondary}",f
4263917,"{330844390,330844389,330844388,1298058596,27484993}","{oneway,yes,name,复兴路,int_name,""Fuxing Road"",highway,primary}",f
4263918,"{25585092,1414035092,339290734,339290777,25585141,733992941,342791876,25585139,25585135}","{name,兵部洼胡同,highway,tertiary,name:zh_pinyin,""bīngbùwā hútong""}",f
4484478,"{27484998,27484990,27484988,27484724,754516460,754517296,754515973,27485058,754517147,754515856,27484725,27486402}","{name,玉渊潭南路,int_name,""Yuyuantian Nanlu"",highway,tertiary}",f
4484480,"{27484993,1038275245,1038275224,27484988}","{oneway,yes,name,""Junbo Donglu"",highway,tertiary}",f
4484481,"{27484990,1298058605,27484994}","{oneway,yes,name,""Junbo Donglu"",highway,tertiary}",f
4484630,"{26535594,733859240,733860100,26535595,733859828,733859673,733860059,733859999,26535390,25248787,25248786}","{oneway,yes,name,东长安街,name:zh,东长安街,highway,primary,name:en,""Dongchang'an Street"",name:zh_pinyin,""Dōngcháng'ān Jiē""}",f
4484776,"{27484998,1298058644,27484999}","{name,""Liulinguan Lu"",highway,residential}",f
4484777,"{27484993,27484994,27484999,529971074,72759649}","{oneway,yes,name,复兴路,int_name,""Fuxing Road"",highway,primary}",f
4493468,"{25248784,330841279,25585055,25585067,342791346,733992877,342819177,342793924,1414035093}","{name,""Renmindahuitang Xijie"",highway,tertiary}",f
4493469,"{77746332,734169729,249556106,734418292,340068516,734419019,340110248,249556108,734170202,734170189,734169425,459584031,318266374,734170150,734169681,318266375,339283129,734169340,1300401046}","{name,""南新华街 (nánxīnhuā jiē)"",name:zh,南新华街,highway,secondary,name:en,""Nanxinhua street"",name:zh_pinyin,""nánxīnhuā jiē""}",f
4822336,"{289555603,30993511,30993512,746441976,261615234,30993546,746496440,30993514}","{name,""Huizhong Lu"",highway,tertiary}",f
4822337,"{30993515,746496437,30993516,30993517,30993518,30993519,30993520,30993521,30993522,30993523,30993524,30993525,30993526,30993527,30993528,30993549,746496441,30993536}","{highway,residential}",f
4822342,"{30993546,30993516,30993547,30993548,30993549}","{highway,residential}",f
4822345,"{384836951,528886451,528776735,746502278,384834876,746507235,30993561,30993562,384838500,30993514,30993515,30993564,30993553,30993565,30993536,528781839,746496436}","{oneway,yes,name,北辰东路,highway,tertiary,name:en,""Beichen Donglu"",name:zh_pinyin,""běichén dōng lù""}",f
4822362,"{30993605,32618885,1421587228,1421587235,701734117}","{oneway,yes,name,北四环中路,highway,trunk}",f
4825504,"{31017965,31017966,1190950081,1190950097}","{oneway,yes,name,安定门东大街,highway,trunk,name:en,""ANDINGMEN DONGDAJIE""}",f
4843674,"{26535390,733858880,1446052227,533628789,533628252,733858893,733858955,266111658,31194136,733788139,31194143,733789081,31194151,733789275,533627660,533627601,733789223,733788966,77751976}","{name,""Nanheyuan Dajie"",highway,tertiary}",f
4843675,"{32388118,266111627,266111605,733859080,32899013}","{name,""Meishouguanhou Jie"",highway,tertiary}",f
4843680,"{31194234,1351023355,31194233,31194232,31194231,31194230}","{bridge,yes,oneway,yes,highway,motorway_link}",f
4843681,"{321858473,321858478,321858480,321858481}","{oneway,yes,name,""Airport Expressway"",highway,motorway}",f
4843687,"{31194316,31194326,31194325,31194324,31194323,31194322,1351023356}","{oneway,yes,highway,motorway_link}",f
4843692,"{31194236,31194548,31194547,31194546,31194545,31194544}","{oneway,yes,highway,motorway_link}",f
4844694,"{31194138,31200998,31200997,31200904,31200905,31200906,31200908}","{name,""Baofang Hutong"",highway,residential}",f
4844695,"{31200905,31200912}","{highway,residential}",f
4844708,"{31200894,31201008,733859127,733859736,266111547,733859135,733859850,733859196,733858818,733859182,266111548,266111549,266111550}","{service,alley,name,""Qianchaomian Hutong"",highway,service}",f
4845093,"{31204690,31204691,31204692,31204693,31204694,31204695,31204696,31204697,31204698,31204699,31204700,31204701,31204702,31204703,31204704,31204705,31204706,529510564,529510565,31204822}","{highway,tertiary}",f
4845097,"{31204690,31205098,31205099,31205100,31205101,31205102,31205103,31205104,31205105,31205106,31205107,31205108,31205109,31205110,31205111,31205112,268389992,31205113,31205114,31205115,31205116,31205117,31205119,31205120,31205121,31205122,31205123,31205124,31205125,31204819,31204820,31204821,31204822,31204707}","{highway,unclassified}",f
4845099,"{31204703,31204892}","{highway,unclassified}",f
4845102,"{31204696,31204911}","{highway,unclassified}",f
4857335,"{31017990,1502668732,31331906,1190930453,1190930388}","{oneway,yes,name,安定门西大街,highway,trunk}",f
4857383,"{31018236,330840055,1414025823,1362315793,31332092}","{oneway,yes,name,北京站前街,highway,secondary,name:zh_pinyin,""Beijinzhan Dajie""}",f
4908397,"{25248790,325686463}","{highway,secondary}",f
4908400,"{325686500,332263578,32062409,32062410,339088101,32062411,32062412}","{oneway,yes,name,前门东大街,highway,primary,name:en,""Qianmen East Street"",name:zh_pinyin,""Qiánmén Dōng Dà Jiē""}",f
4922662,"{32278573,32850095,340064494,32451339,32451111,341216470,32450487,32450493,340063366,256834574,32451577,340063762,32278574}","{name:zh_py,""Nanluogu Xiang"",service,alley,name:en_pinyin,""South Luogu Alley"",name,南锣鼓巷,highway,service}",f
4928042,"{32877275,35549717,1114097898,32877279}","{oneway,no,name,农展馆路,highway,secondary}",f
4928045,"{32388118,332618906,340063764,256834576,340063067,32450494,342777652,32450490,32451314,32451345,340064895,733992915,733992802,32388119}","{name:zh_py,""Jiāodàokǒu Nándàjiē"",name,交道口南大街,highway,secondary,name:en,""Jiaodaokou South Street""}",f
4928048,"{32388365,321262088,269491225,32451488,269491787,269487636,269491782,269491201,342741394,342836138,32387949}","{name,""Di'anmenwai Dajie"",highway,secondary}",f
4931009,"{32451488,32451728,734045386,734045315,733967534,32449308}","{service,alley,name,""Fangzhuanchang Hutong"",highway,service}",f
4931055,"{32449306,341216077,1484589871,32449307}","{service,alley,highway,service}",f
4931136,"{32450487,32450490}","{service,alley,name,""Qinlao Hutong"",highway,service,name:zh_pinyin,""Qinlao Hutong""}",f
4931137,"{269487636,734045389,269487637,32450493}","{service,alley,name,""Mao'er Hutong"",highway,service}",f
4931224,"{32449310,32451111}","{service,alley,name,""Shajing Hutong"",highway,service}",f
4931240,"{32451345,32451339}","{service,alley,name,""Houyuan'ensi Hutong"",highway,service,name:zh_pinyin,""Houyuan'ensi Hutong""}",f
4947938,"{32388366,384027133,32388368,77723975,77724537,341218750,77724538,342720216,341222172,341222173,341223945,341222176}","{name,""Zhonglouwan Hutong"",highway,residential}",f
4948186,"{528894114,292591259}","{oneway,yes,highway,secondary}",f
4961267,"{32850095,32850096,32850097,733992790,733992775}","{highway,residential}",f
4964849,"{748725234,748725235}","{highway,residential}",f
4964850,"{32877189,340253191,340243435,733967229,245145127,340253919,733967305,340254039,340254110,733967313,733992920,32877196}","{name,""Dongzhibei Nandajie"",highway,secondary}",f
4974185,"{35554060,35552324}","{highway,tertiary}",f
5090642,"{32877231,34710775,34710877,277524377,34710777,34710778,34710779}","{name,""Maizidian Jie"",highway,tertiary}",f
5090643,"{35553136,32877229,35558353,32877231,35558606,32877235}","{name,""Nongzhanguan Beilu"",highway,tertiary}",f
5090644,"{35552056,317993993,35554062,35835582,35835583,262259869}","{name,亮马河南路,highway,residential}",f
5135875,"{35550832,35550833,35550834,64393005}","{name,""Baijiayuan Lu"",highway,tertiary}",f
5135876,"{100655684,332949635,35550849,35550832}","{name,""Nansanlitun Lu"",highway,tertiary}",f
5135877,"{245145493,1114039032,922922296,245145494,317994352}","{name,""Dongzhong Jie"",highway,residential}",f
5135878,"{100634912,35551198,35551155}","{name,工人体育场南路,highway,tertiary,name:en,""Gongrentiyuchang South Road"",name:zh_pinyin,""Gōngréntǐyùchǎng Nán Lù""}",f
5135880,"{35551424,260559163,35551425,35551427,35551428,35551429,35551430,35551431,35551432,35551433,35551434,35551435,260559167,35551437,35551438,35551439,260559170,35551440,260559169,35551441,260559168,35551442,260559162,35551424}","{highway,service}",f
5135889,"{256875150,256875108,35552314,35552318,35552319,1288651801,35552320,34710779,35552321,321794576,35552322}","{name,""Liangmaqiao Lu"",highway,secondary}",f
5135894,"{280350454,280350455,534074164,534074165,280350456,280350457,280350458,280350459,280350460,280350461,280350462,280350463,280350464,280350465,280888249,280350466,280888027,280888334,35554797,35554801,35554802,35554803,35554804,35554805,703216470,35554806,35554808,35554809,35554810,35554811,35835749}","{highway,secondary}",f
5135897,"{35555070,35555071,35555072,74463495,35555075,35555076,35555077,245148576,35549783,35555078,35286274}","{name,姚家园路,highway,tertiary}",f
5135903,"{35835744,482830996,35835746}","{highway,residential}",f
5135923,"{35558352,35558353}","{highway,residential}",f
5135924,"{35558498,35558499,72068540,35558352}","{highway,residential}",f
5158564,"{64603538,759497835,35555613,35835744,35555615,35555616,35555619,35555108,35555110,35555070}","{name,""Yaojiayuan Lu"",highway,residential}",f
5158566,"{32618834,1502668737,1190930481,32618837,1190950083,1190930418}","{oneway,yes,name,德胜门东大街,highway,tertiary}",f
5168718,"{321802797,36704831,36704830,36704829,1303500767,36704893,36704828,36704827,35553585,35553584,36704990,33399858,82972007,35553582,82972222,345589075,35553581,36704260,76457475,332949643,82972261,1351272682,35286274,1351272686,245148489,32877279,1114097895,1357805912,36704368,1351272734,32877217,35553136,1351272768,1288652757,1278004158,34710869,35835579,1372013061}","{oneway,yes,highway,tertiary}",f
5168720,"{35553136,35835325}","{oneway,yes,highway,trunk_link}",f
5168726,"{533604390,533605619,321853811,533605685,321853812,321853814,321853815,321853817,321853818,321853819,321853820,321853821,533606716,321853823,321853824,321853825,321853826,321853828,321853830,321853831,321853832,1351023440,31194330,1351023427}","{oneway,yes,name,""3rd Ring Road"",highway,trunk,name:en,""3rd Ring Road""}",f
5168730,"{35835569,1351023254}","{oneway,yes,highway,motorway_link}",f
5168731,"{35835578,35835579}","{oneway,yes,highway,residential}",f
5168733,"{35835593,35835594,1351272764,1351272761,35835595,35835596}","{bridge,yes,layer,3,foot,yes,highway,footway}",f
5168765,"{35835751,35835749,35835748,35835755}","{oneway,yes,highway,unclassified}",f
5168773,"{35835806,35835805}","{oneway,yes,layer,3,highway,trunk}",f
5168780,"{36551832,35836100,35836101,1351023645}","{oneway,yes,name,""Airport Expressway"",highway,motorway}",f
5168864,"{34710869,35835578,34710870,34710871,34710872,34710874,34710875,34710876,34710877}","{name:zh-Latn,""Maizidian Xijie"",name,""Maizidian Xijie"",highway,residential,name:en,""Mazidian West Street""}",f
5168918,"{35836658,1351023799,1351023915,35836737,35835983,35835872,35835984,36551833}","{oneway,yes,name,""Airport Expressway"",highway,motorway}",f
5168928,"{35847192,35856373,35856374,35856375}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5168931,"{35856375,35856376,338237404}","{bridge,yes,oneway,yes,layer,2,name,""4th Ring Road"",highway,trunk}",f
5168950,"{35856925,35857531,35857532,35857533,35857534,35857535,320828982,35857536}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5168954,"{35857555,35858257,289122345,35858258,35858259,35858260,35858261,35858262,35858263,35858264,35858265,35858266,35858267,35858269,35858271,35858272,35858273,35858274,35858275}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5168962,"{35858299,35859192,35859193,35859194,1230312330,1230312246}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5168969,"{35859205,35859791,605349690,605352463}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5168984,"{35859809,35860242,1230361291,1532469576,1532469596,1532469611,35860246}","{oneway,yes,name,南四环西路,highway,trunk}",f
5168985,"{35860265,35860873,35860874,35860875,35860876}","{oneway,yes,name,西四环南路,highway,trunk,name:en,""West 4th Ring Road South""}",f
5168986,"{35860899,35861493,35861495,35861496,35861497,35861498,35861499}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5168995,"{35862223,35862224,35862225,35862227,35862229,35862230,35862231,35862232,35862233,35862234,35862235,35862236,35862237,35862238,35862240,35862241,289275969,35862243,35862245,289275970,35862246}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5169015,"{239433097,331145700,1364156201,1498072310,1364156205,1195735424,1367439176,1367439178,1350327455,1350327456}","{oneway,yes,highway,tertiary}",f
5169047,"{35861499,35866202,35866203}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5169058,"{530646479,1359329237,533599452,533598306,35867305,533592888,533597382,1359329158,299233486,1412818736,1412818731,1359329140,1359329138,1359329121,35867598,35867599}","{oneway,yes,name,""3rd Ring Road"",highway,trunk,name:en,""North 3rd Ring Road Middle""}",f
5169068,"{35867599,35868026}","{bridge,yes,oneway,yes,name,北三环中路,highway,trunk,name:en,""North 3rd Ring Road Middle""}",f
5169081,"{294119384,35868032,35868033,35868034,35868037,35868038,35868040,35868883,294117909}","{oneway,yes,name,北三环西路,highway,trunk,name:en,""North 3rd Ring West Road""}",f
5169097,"{35868915,35869359,35869360,604810339}","{oneway,yes,name,""3rd Ring Road"",highway,trunk}",f
5169113,"{35869985,35870319,35870320,35870321,332948634,35870322}","{oneway,yes,name,""3rd Ring Road"",highway,trunk}",f
5169116,"{35870348,35870746,35870747,35870748,35870749,332471836,35870750,35870751,35870752,35870754}","{oneway,yes,name,""三环中路 3rd Ring Road"",name:zh,三环中路,highway,trunk}",f
5169121,"{35870782,35871119,35871120}","{oneway,yes,name,""3rd Ring Road"",highway,trunk,name:zh_pinyin,""Dong Sanhuan""}",f
5169159,"{34928517,343336122}","{lanes,2,oneway,-1,name,""Fangyuan Xilu"",highway,secondary}",f
5169160,"{343335099,76457149,76457151,76457152,76457153,76457154,76457155,76457156,1305971017,34928522,34928529}","{highway,tertiary}",f
5169162,"{34928570,34928763}","{highway,service}",f
5169170,"{34928763,35874273,35874274,35874275,35874276,35874277,35874278,35874279,35874280,34928763}","{oneway,yes,highway,service}",f
5169171,"{268390275,268390276,268390277,268390278,76456797,1164526746,76456798,76456799,76456800,268390066,76456801,76456802,1243786221,1243786211,1243786219,76456791,76456792,76456793,343335098,76456794,321796594,689636575,1429776383,748757976,35874511,34928733,1243729611,320569956,1243729590,382913488}","{name,""Jiangtai Lu"",highway,tertiary}",f
5202870,"{36380657,36380658,36380659,36380660,533607084,36380661,36380662,36380663,36380664,36380665,332614155,36380666,36380667,36380668,258833254,77338189,36380669,36380670,370732151,388005172,36380675}","{oneway,yes,name,""Beijing -Chengde Expressway"",highway,motorway}",f
5202945,"{35722671,36704808}","{name,""Guandongdian Beijie"",highway,residential}",f
5202946,"{35722439,35722666,35722667,35722668,35722669,35722670}","{highway,secondary}",f
5202948,"{35722439,35551198,35722656,266112241,35722658,35722659,35722660,35722661,266112274,35722663,35722664}","{name,""朝阳门外大街 (cháoyángmén wài dàJiē)"",name:zh,朝阳门外大街,highway,secondary,name:en,""Chaoyangmen Outer Street"",name:zh_pinyin,""cháoyángmén wài dàJiē""}",f
5202949,"{35722660,35551152}","{name,吉市口东路,highway,tertiary,name:en,""Jishikou East Road"",name:zh_pinyin,""Jíshìkǒu Dōng Lù""}",f
5202950,"{35722732,534115614,534115851,534115861,35722730,1408034624,534116213}","{lanes,3,oneway,yes,name,""朝阳路（cháoyáng lù)"",highway,secondary}",f
5202951,"{34928733,34928570,165738870,34928529}","{highway,tertiary}",f
5202952,"{36544039,34928634,34928639,260726600,34928647,34928652,746507241,34928660,34928667,36551783,64603697,64603538,64603176,100638705}","{oneway,yes,highway,tertiary}",f
5202979,"{36395101,36395102,36395103,36395104,36395105,36395106,36395107,36395108,36395109,36395110,36395111,36395112,36395113,36395114,36395115,36395116,36395117,36395118,560061205}","{name:de,""Chinesische Mauer"",name,长城,name:zh,长城,foot,yes,highway,path,name:en,""Great Wall of China"",barrier,wall}",f
5203144,"{35847189,64603903,35847190,35847191}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5203145,"{35835809,35847189}","{bridge,yes,oneway,yes,layer,2,name,""4th Ring Road"",highway,trunk}",f
5212286,"{35835749,36551783,260727093,35835746,482830995,244888915,35555404,32877275}","{name,朝阳公园南路,name:zh,朝阳公园南路,highway,secondary,name:en,""Chaoyang Park South Road"",name:zh_pinyin,""Cháoyánggōngyuán Nánlù""}",f
5212290,"{35835418,1351272695,36542781}","{oneway,yes,name,""3rd Ring Road"",highway,trunk}",f
5212294,"{35835378,82972304,1351272715,35835352}","{oneway,yes,name,三环路,highway,trunk,name:en,""3rd Ring Road"",ref,""3rd Ring Road""}",f
5212298,"{30993649,35835757,30993648,30993647,30993646,30993645,30993644,66420639,30993643,30993642,35835811,30993641,30993640,66420650,35552313,30993638,30993637,1351023464,35835846,35835845,35835844,1351023542,35835843,1351023572,35835840}","{oneway,yes,name,""4th Ring Road"",highway,trunk}",f
5212299,"{30993650,30993649}","{bridge,yes,oneway,yes,layer,2,name,""4th Ring Road"",highway,trunk}",f
5212305,"{36544172,36544173,36544174,36544175}","{layer,3,foot,yes,highway,footway}",f
5212307,"{36544174,36544192}","{layer,3,foot,yes,highway,footway}",f
5212308,"{36544173,36544204}","{layer,3,foot,yes,highway,footway}",f
5212458,"{36551834,35855291,35855292}","{oneway,yes,name,""Airport Expressway"",highway,motorway}",f
5212459,"{36551833,36551834}","{oneway,yes,layer,2,name,""Airport Expressway"",highway,motorway}",f
5212464,"{35855552,36551832}","{oneway,yes,layer,2,name,""Airport Expressway"",highway,motorway}",f
5212774,"{35835419,35835418}","{bridge,yes,oneway,yes,layer,2,name,""3rd Ring Road"",highway,trunk}",f
5212775,"{35556748,35556749,35556693,35835585}","{foot,yes,highway,footway}",f
5212776,"{35556693,35556694}","{bridge,yes,foot,yes,highway,footway}",f
5217861,"{35552320,1278004067,1278004066,35552465,277524512,35552467,35552468,32877235,260726466,260726527,35558498,74450584,66420500,32877246,32877251,32877255,32877259,669019036,32877265,32877267,32877271,32877275}","{name,朝阳公园路,highway,tertiary,name:en,""Chaoyang Park Road"",name:zh_pinyin,""Cháoyánggōngyuán Lù""}",f
5217952,"{36704090,35835378}","{bridge,yes,oneway,yes,layer,2,name,""3rd Ring Road"",highway,trunk}",f
5217964,"{322450347,318267131,322450348,322450349,322449440,245109112,321802972,322450626,321802827,528593349,321802813}","{oneway,yes,highway,tertiary}",f
5217972,"{35835420,36704414}","{oneway,yes,highway,trunk_link}",f
5217979,"{36704530,36704531,36704532,36704533,36704534,36704535,36704536,36704537}","{bridge,yes,layer,1,highway,footway}",f
5218028,"{36704966,36704988,36704989,36704850,36704941,36704959,36704833,36704834,1303500887,1303500731,36704848,321207013}","{bridge,yes,oneway,yes,layer,2,name,东三环中路,highway,trunk}",f
5218029,"{35871419,35871420,35871421,35871422,36704846,1303500777,36704835,36704836,36704851,36704882,36704849,36704991,36704992}","{bridge,yes,oneway,yes,layer,2,name,东三环中路,highway,trunk}",f
5218035,"{330836226,36704892,36704893,36704894,317991898,36704900}","{oneway,yes,highway,trunk_link}",f
5218036,"{36704903,36704886,36704887,36704888,36704889,36704890,36704880,36704882}","{bridge,yes,oneway,yes,layer,1,highway,trunk_link}",f
5218037,"{36704904,36704903,36704876,36704952,36704950,36704905}","{bridge,yes,oneway,yes,layer,1,highway,primary}",f
5218038,"{36704905,36704900,786671289,31018239,266110493,31018238,129899691}","{oneway,yes,name,建国门外大街,highway,primary}",f
5218042,"{36704941,36704942,36704943,36704944,36704945,36704946,36704947,36704948,36704950}","{bridge,yes,oneway,yes,layer,1,highway,trunk_link}",f
5218043,"{36704952,36704953,36704954,36704955,36704956,36704957,36704958,36704959}","{bridge,yes,oneway,yes,layer,1,highway,trunk_link}",f
5218045,"{35871135,35871413,35871414,35871415}","{oneway,yes,name,""3rd Ring Road"",highway,trunk}",f
5218046,"{36542781,36704963}","{bridge,yes,oneway,yes,layer,1,name,""3rd Ring Road"",highway,trunk}",f
