"id","ways_index"
25004599,"[25004600L, 25775109L, 25004597L]"
25004600,"[25004599L, 25004597L, 26139094L, 25051225L, 25004601L]"
25004601,"[52279523L, 75888623L, 34625009L, 26139094L, 25051225L, 25004600L, 25004604L, 25004605L]"
25004602,"[34625007L]"
25004604,"[25004609L, 52279523L, 25608741L, 75888623L, 25719829L, 26139096L, 25004601L, 25004607L]"
25004605,"[25004601L]"
25004607,"[25004609L, 25719829L, 25004604L, 25608741L]"
25004608,"[25004609L]"
25004609,"[25004608L, 25004611L, 25608741L, 25775113L, 25719829L, 71497452L, 58093679L, 34625013L, 26139097L, 25004604L, 25004607L]"
25004611,"[25004609L, 25004612L, 26139097L]"
25004612,"[26139137L, 25004611L, 26139141L, 25004614L, 26139139L, 25004617L, 25004618L, 26139143L, 26139133L, 49199952L, 34625011L, 26139145L, 26139127L, 58093688L, 26139114L, 26139135L]"
25004614,"[25004612L]"
25004617,"[25004612L, 26139126L]"
25004618,"[25004612L]"
25004739,"[74908174L]"
25006935,"[30888192L, 29309223L, 28947818L, 28947822L, 29315535L, 29171419L]"
25006941,"[28947814L, 28947816L, 128949609L, 28947822L, 29315441L, 33617271L]"
25007013,"[29201953L, 26403618L, 29314820L, 30887974L, 30887785L, 33615915L, 60495730L, 33615917L, 128949648L, 25091217L, 128949618L, 33296580L, 128949626L, 128949647L, 128949628L]"
25051224,"[26064105L, 26064139L, 26064189L]"
25051225,"[52279524L, 26139094L, 25004600L, 25004601L, 52279548L, 29178845L]"
25081292,"[25093057L, 24804706L, 59167940L, 30801937L, 25091601L, 123222308L, 30801951L]"
25081372,"[30152219L, 24476418L, 121782619L, 59174564L, 59174597L, 59174449L, 30802538L, 59174567L, 30802542L, 59174576L, 131710769L, 30802546L, 59174531L, 59174446L, 42488408L, 103255993L, 59174426L, 59174459L, 30802618L, 30802677L]"
25081384,"[30802567L, 42673619L, 42501522L, 59167923L, 59167925L, 42673591L, 9779291L, 25091486L, 127843743L]"
25091217,"[25007013L, 33615911L, 33406775L, 29314798L, 33615890L, 33296663L, 26403674L, 33615909L]"
25091486,"[131710754L, 59167939L, 131710756L, 131710757L, 25081384L, 59174537L, 30801982L, 30802350L, 30843345L, 42501522L, 30802356L, 23767934L, 30843384L, 42673588L, 4843674L, 24476317L]"
25091579,"[4931137L, 4928045L, 4922662L]"
25091590,"[25091600L, 30832700L]"
25091600,"[13740770L, 4922662L, 135158149L, 25091590L, 30784359L, 59185354L, 25091622L, 42501421L, 4928045L, 4928048L, 30766481L, 29207286L, 30766489L, 59188989L]"
25091601,"[25081292L, 4928048L, 59168022L, 59168024L, 34104217L]"
25091622,"[13740770L, 59181732L, 59181737L, 4928045L, 59181743L, 25091600L, 34104274L, 26812214L, 131710750L]"
25091635,"[4931224L, 30833561L, 4928045L, 4922662L]"
25093041,"[10088770L, 26391365L, 23378542L, 26391227L, 26403550L]"
25093057,"[34104230L, 59168041L, 25081292L, 42501522L, 30801981L]"
25095177,"[34390176L, 23717639L, 23717704L, 34390164L, 23717621L, 23717625L, 31557915L]"
25105933,"[24447200L, 42501522L, 30009754L]"
25109088,"[9477031L, 4928045L, 30065037L, 24476310L, 24476313L, 4843675L, 131710750L]"
25109171,"[34104290L, 121100419L, 128009700L, 34104264L, 34104265L, 30838987L, 33679496L, 59189018L, 30838876L, 128009692L, 33679487L]"
25109400,"[127843739L, 127843740L, 4484630L, 127843727L]"
25109457,"[131710754L, 34104260L, 131710757L, 131710737L, 131710739L, 131710750L, 131710742L, 131710756L, 30802618L, 23767934L]"
25109613,"[34104237L]"
25110454,"[25110514L, 42652363L, 42652581L]"
25110514,"[42652363L, 42652581L, 25110454L]"
25110530,"[]"
25189584,"[25189585L, 25847365L, 25847375L]"
25189585,"[25847365L, 25847375L, 25189584L, 25895795L, 25847380L]"
25189587,"[25895795L, 25847380L, 25189589L]"
25189589,"[25847376L, 25847377L, 25189587L]"
25189590,"[26514756L, 25847372L, 26812242L, 26345779L, 127635194L]"
25189591,"[22800009L, 26514766L, 25847376L, 127635188L, 25375865L, 25375866L]"
25189596,"[]"
25189610,"[48044321L, 128503977L, 128510699L, 33506125L, 48049841L]"
25189611,"[42453665L, 55807917L, 24797710L, 55806546L, 128478804L, 24797689L, 42453630L]"
25189613,"[42453665L, 24797699L, 48044321L, 55807917L, 55806546L, 128478804L, 26569015L, 42453628L]"
25207513,"[42655192L, 25207515L]"
25207515,"[60110806L, 60110775L, 121399256L, 25207513L, 25207516L]"
25207516,"[25207515L, 60110719L, 60110806L, 60110775L]"
25207519,"[25207520L, 42412027L, 42411940L, 60110697L, 139378013L, 60110768L, 121399247L, 60110717L, 42411902L]"
25207520,"[42360291L, 42673147L, 121399443L, 42655064L, 60110713L, 121399482L, 42412027L, 42360444L, 42360445L, 25207519L]"
25207529,"[42502416L, 24269690L, 42502420L, 55886170L]"
25213433,"[127635194L, 25847390L, 25847374L]"
25213434,"[127635194L, 26139159L]"
25213435,"[127635194L, 26139159L]"
25214171,"[24804890L, 78241012L, 43976671L]"
25214172,"[25214177L, 25214178L, 25214179L, 25214180L, 43976679L, 43976652L, 78241009L, 43976661L, 43976662L, 25214173L, 25214174L, 25214175L]"
25214173,"[25214172L]"
25214174,"[25214172L]"
25214175,"[25214172L]"
25214176,"[43976662L]"
25214177,"[43978818L, 25214179L, 25214172L, 25214178L]"
25214178,"[25214172L, 25214179L, 43976652L, 25214177L]"
25214179,"[25214177L, 25214178L, 25214172L]"
25214180,"[43978818L, 25214172L, 43976652L]"
25214181,"[50625376L, 50625377L, 128620739L, 27083794L, 128620789L, 26139159L, 26139161L, 27209722L, 26139162L]"
25214182,"[114108333L, 128620750L, 114108341L, 128620760L, 128620795L]"
25214184,"[26139161L, 127635194L, 26139159L]"
25339174,"[127464480L, 127468288L, 30546786L, 127468260L, 47500521L, 47500354L, 30547121L, 127468277L, 127464472L, 128248635L]"
25339178,"[127464465L, 127464492L, 30212566L]"
25339191,"[27031249L, 27031258L, 27031263L]"
25354074,"[28927333L, 105154057L, 121067370L, 105154060L, 105154029L, 121067374L, 121067375L, 105154035L, 105154039L, 105154008L, 105154045L]"
25375815,"[122090116L]"
25375818,"[25375820L]"
25375820,"[25375818L, 25375834L]"
25375822,"[25375826L]"
25375826,"[25375822L]"
25375834,"[25375820L]"
25375840,"[]"
25375841,"[25375842L]"
25375842,"[25375841L, 25375843L]"
25375843,"[25375842L, 25375854L, 25375847L]"
25375847,"[25375848L, 25375843L, 25375854L]"
25375848,"[25375852L, 25375847L]"
25375852,"[25375848L, 25375854L]"
25375854,"[25375856L, 25375843L, 25375852L, 25375847L]"
25375856,"[25375874L, 25375854L]"
25375858,"[25375859L, 25375874L]"
25375859,"[25375874L, 25375858L]"
25375862,"[25375874L]"
25375865,"[115620355L, 26514790L, 22800009L, 25189591L, 26514767L, 26514770L, 127635188L, 26514777L, 25375866L]"
25375866,"[25375865L, 25189591L]"
25375870,"[25375874L]"
25375871,"[25375872L, 25375874L]"
25375872,"[25375871L]"
25375874,"[25375856L, 25375858L, 25375859L, 25375862L, 139355449L, 25375870L, 25375871L]"
25409131,"[25999328L, 25409132L, 25004143L]"
25409132,"[58093669L, 25004584L, 25409131L, 25409133L, 25409136L]"
25409133,"[25409132L]"
25409134,"[]"
25409136,"[25409132L]"
25409137,"[25004584L]"
25409138,"[25004584L, 25409140L, 25999340L, 25004585L]"
25409139,"[25409140L, 25409142L]"
25409140,"[25409138L, 25409139L]"
25409141,"[]"
25409142,"[25409144L, 25409139L, 25409143L]"
